out_sim,in_sim,model,area,trial
0.155130310069796,0.1,c,ca3,1
0.1292696632895611,0.1,c,ca3,2
0.1583597517255695,0.1,c,ca3,3
0.1822688810097815,0.1,c,ca3,4
0.1009646697240792,0.1,c,ca3,5
0.1355549097339661,0.1,c,ca3,6
0.1768037458875299,0.1,c,ca3,7
0.1990241621563502,0.1,c,ca3,8
0.1178374412357303,0.1,c,ca3,9
0.146718761986267,0.1,c,ca3,10
0.107946338390093,0.2,c,ca3,1
0.0848006115101359,0.2,c,ca3,2
0.0966653575748625,0.2,c,ca3,3
0.1009383953620402,0.2,c,ca3,4
0.1441589496423763,0.2,c,ca3,5
0.1453040989178651,0.2,c,ca3,6
0.0957539639639377,0.2,c,ca3,7
0.1935125579776845,0.2,c,ca3,8
0.1581336740003264,0.2,c,ca3,9
0.1592016856285058,0.2,c,ca3,10
0.2207819154136046,0.3,c,ca3,1
0.1888659566965022,0.3,c,ca3,2
0.2902926044592294,0.3,c,ca3,3
0.2135108497324582,0.3,c,ca3,4
0.1597228008557822,0.3,c,ca3,5
0.2394261047085514,0.3,c,ca3,6
0.2237169775252006,0.3,c,ca3,7
0.2310196017601448,0.3,c,ca3,8
0.2494056080225678,0.3,c,ca3,9
0.3074720414863111,0.3,c,ca3,10
0.2851535628103839,0.4,c,ca3,1
0.2561448653311635,0.4,c,ca3,2
0.2326332881923423,0.4,c,ca3,3
0.2706622116996054,0.4,c,ca3,4
0.3069377290336734,0.4,c,ca3,5
0.2895451958924891,0.4,c,ca3,6
0.2211465327670403,0.4,c,ca3,7
0.3549623904128462,0.4,c,ca3,8
0.352014772687807,0.4,c,ca3,9
0.3265396064220016,0.4,c,ca3,10
0.2916072660408828,0.5,c,ca3,1
0.4109772763994125,0.5,c,ca3,2
0.2605108082278784,0.5,c,ca3,3
0.3079800542551124,0.5,c,ca3,4
0.3260201725470145,0.5,c,ca3,5
0.2813894124476916,0.5,c,ca3,6
0.3392732165174645,0.5,c,ca3,7
0.2752160625374409,0.5,c,ca3,8
0.3591566463935879,0.5,c,ca3,9
0.2878970221328255,0.5,c,ca3,10
0.4059242720865528,0.6,c,ca3,1
0.4244392772975395,0.6,c,ca3,2
0.4664009529740415,0.6,c,ca3,3
0.4393620396296233,0.6,c,ca3,4
0.4077243261236941,0.6,c,ca3,5
0.4751379026761517,0.6,c,ca3,6
0.4503667386249165,0.6,c,ca3,7
0.4222406259195726,0.6,c,ca3,8
0.493552215792556,0.6,c,ca3,9
0.4791784830191472,0.6,c,ca3,10
0.6097684514668998,0.7,c,ca3,1
0.6528818319834042,0.7,c,ca3,2
0.6378876682978384,0.7,c,ca3,3
0.6045044207158181,0.7,c,ca3,4
0.5783748238035722,0.7,c,ca3,5
0.6368265369302513,0.7,c,ca3,6
0.6391004221535368,0.7,c,ca3,7
0.6219232277347162,0.7,c,ca3,8
0.6228783693954278,0.7,c,ca3,9
0.6411015466912879,0.7,c,ca3,10
0.7792957946147993,0.8,c,ca3,1
0.8318629817949114,0.8,c,ca3,2
0.7536733333767976,0.8,c,ca3,3
0.809481662493327,0.8,c,ca3,4
0.7520509372149687,0.8,c,ca3,5
0.7489034218846427,0.8,c,ca3,6
0.8497798901536897,0.8,c,ca3,7
0.7093351573595792,0.8,c,ca3,8
0.8646673343810035,0.8,c,ca3,9
0.7734314609945766,0.8,c,ca3,10
0.9954956812319702,0.9,c,ca3,1
0.9425784682603152,0.9,c,ca3,2
0.8583220713278845,0.9,c,ca3,3
0.9837292671593496,0.9,c,ca3,4
0.8023212468957246,0.9,c,ca3,5
0.8853777742528268,0.9,c,ca3,6
0.9880409840740196,0.9,c,ca3,7
0.9768557629540804,0.9,c,ca3,8
0.9708671654637064,0.9,c,ca3,9
0.9693427154898124,0.9,c,ca3,10
0.1309533002112027,0.1,c,dg,1
0.2876559599923401,0.1,c,dg,2
0.1515681310074976,0.1,c,dg,3
0.2000506087158605,0.1,c,dg,4
0.1577182029739929,0.1,c,dg,5
0.1605997342892779,0.1,c,dg,6
0.1126633415127861,0.1,c,dg,7
0.126817239728792,0.1,c,dg,8
0.1365273112832882,0.1,c,dg,9
0.1805322926749979,0.1,c,dg,10
0.1031606958119411,0.2,c,dg,1
0.2299517269447598,0.2,c,dg,2
0.0851068322554391,0.2,c,dg,3
0.2114280596768673,0.2,c,dg,4
0.2696459216627956,0.2,c,dg,5
0.1354146047465231,0.2,c,dg,6
0.1680754487416466,0.2,c,dg,7
0.2567146948549154,0.2,c,dg,8
0.2470725408775508,0.2,c,dg,9
0.1902820670176125,0.2,c,dg,10
0.189911642245409,0.3,c,dg,1
0.2275715421347879,0.3,c,dg,2
0.2545548030189808,0.3,c,dg,3
0.2065032185149364,0.3,c,dg,4
0.1873697459579799,0.3,c,dg,5
0.2038079726671439,0.3,c,dg,6
0.1790847889267345,0.3,c,dg,7
0.1541233977722055,0.3,c,dg,8
0.1001105775808467,0.3,c,dg,9
0.2234321209463293,0.3,c,dg,10
0.2754660139835038,0.4,c,dg,1
0.2674286124308236,0.4,c,dg,2
0.3159625901301577,0.4,c,dg,3
0.2326361386179022,0.4,c,dg,4
0.2641856144409571,0.4,c,dg,5
0.2630700525763815,0.4,c,dg,6
0.2734691291057094,0.4,c,dg,7
0.193802422526893,0.4,c,dg,8
0.1553108645823008,0.4,c,dg,9
