area,model,mean,std,min,max,median,count
ca3,c,0.4344813080876668,0.2762564185849343,0.0848006115101359,0.9954956812319702,0.33290641146973304,90
ca3,ng,0.14889116886301448,0.072947362245489,0.0146888375592543,0.2915051758813907,0.1577629453779559,90
ca3,ngt,0.09967326592869627,0.05984964559357495,0.0012080905719359,0.2713701440813716,0.10038027789306725,90
dg,c,0.3827276653201065,0.2311998936971479,0.0851068322554391,0.8406329704802258,0.28220326106893157,90
dg,ng,0.1381891151583203,0.05914382011234558,0.0040396038075254,0.2845866293943587,0.1387305755077172,90
dg,ngt,0.0880295070350413,0.056047475380030964,0.0046119585326091,0.2592023591048215,0.0803228732948645,90
